Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,14
design__inferred_latch__count,0
design__instance__count,4971
design__instance__area,27647.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,18
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0011740537593141198
power__switching__total,0.0006591528654098511
power__leakage__total,4.0387782007655915E-8
power__total,0.0018332470208406448
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27904471190211294
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.291053994699129
timing__hold__ws__corner:nom_tt_025C_1v80,3.1347134664172516
timing__setup__ws__corner:nom_tt_025C_1v80,13.365659179951503
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,3.134713
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,294
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,18
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2892050847327787
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3059511341983229
timing__hold__ws__corner:nom_ss_100C_1v60,3.7604320721680513
timing__setup__ws__corner:nom_ss_100C_1v60,8.202995848098837
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,6.379393
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,18
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.273760272200048
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.28335704029632297
timing__hold__ws__corner:nom_ff_n40C_1v95,2.0347819560775773
timing__setup__ws__corner:nom_ff_n40C_1v95,13.844092486465549
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,2.034782
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,454
design__max_fanout_violation__count,18
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2703692901644562
clock__skew__worst_setup,0.27869313201584645
timing__hold__ws,2.0282183173703614
timing__setup__ws,8.139659843198757
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,2.028218
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 391.565 402.285
design__core__bbox,5.52 10.88 385.94 388.96
design__io,374
design__die__area,157521
design__core__area,143829
design__instance__count__stdcell,4971
design__instance__area__stdcell,27647.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.192226
design__instance__utilization__stdcell,0.192226
design__instance__count__class:buffer,128
design__instance__count__class:inverter,172
design__instance__count__class:sequential_cell,162
design__instance__count__class:multi_input_combinational_cell,942
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,13219
design__instance__count__class:tap_cell,2044
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,372
design__io__hpwl,25288238
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,67735.3
design__violations,0
design__instance__count__class:timing_repair_buffer,1241
design__instance__count__class:clock_buffer,18
design__instance__count__class:clock_inverter,14
design__instance__count__hold_buffer,0
design__instance__count__setup_buffer,0
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
design__instance__count__class:antenna_cell,250
antenna_diodes_count,3
route__net,2870
route__net__special,2
route__drc_errors__iter:1,1066
route__wirelength__iter:1,76006
route__drc_errors__iter:2,503
route__wirelength__iter:2,75635
route__drc_errors__iter:3,503
route__wirelength__iter:3,75598
route__drc_errors__iter:4,62
route__wirelength__iter:4,75642
route__drc_errors__iter:5,0
route__wirelength__iter:5,75674
route__drc_errors,0
route__wirelength,75674
route__vias,16936
route__vias__singlecut,16936
route__vias__multicut,0
design__disconnected_pin__count,154
design__critical_disconnected_pin__count,0
route__wirelength__max,928.31
timing__unannotated_net__count__corner:nom_tt_025C_1v80,169
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,169
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,169
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,18
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.27504485578702104
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2855553374584041
timing__hold__ws__corner:min_tt_025C_1v80,3.123433378123432
timing__setup__ws__corner:min_tt_025C_1v80,13.414963741780324
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
